Feature,Builtin_Importance,Perm_Importance,SHAP_Importance,Builtin_Rank,Perm_Rank,SHAP_Rank,Avg_Rank
single_alert_amount_abs,0.8901908,0.5770031468598807,7.272997,1.0,1.0,1.0,1.0
single_alert_series_signature_suite_freq,0.008313657,0.005646358583997235,0.62067395,5.0,3.0,2.0,3.3333333333333335
"single_alert_series_signature_tags_fission, webrender",0.054929126,0.007224426321227428,0.22369148,2.0,2.0,6.0,3.3333333333333335
single_alert_new_value,0.0095775705,0.005192059964939777,0.26285794,4.0,4.0,4.0,4.0
alert_summary_status,0.004398063,0.00166455575249701,0.30107763,6.0,5.0,3.0,4.666666666666667
single_alert_series_signature_tags_webrender,0.01979718,0.0004836685834815224,0.01091453,3.0,7.0,10.0,6.666666666666667
single_alert_prev_value,0.0025593797,0.0007430576209217276,0.04393828,9.0,6.0,9.0,8.0
single_alert_amount_pct,0.0035578678,0.00043755948029091665,0.07698239,8.0,8.0,8.0,8.0
single_alert_t_value,0.0025572074,0.0003508393437699264,0.13837062,10.0,9.0,7.0,8.666666666666666
single_alert_status,0.003971131,0.0,0.2463549,7.0,14.0,5.0,8.666666666666666
single_alert_manually_created_True,0.00014794875,0.0,0.00077448535,11.0,14.0,11.0,12.0
"single_alert_series_signature_tags_bytecode-cached, cold, fission, webrender",0.0,0.0,0.0,15.0,14.0,15.0,14.666666666666666
"single_alert_series_signature_tags_cold, webrender",0.0,0.0,0.0,15.0,14.0,15.0,14.666666666666666
"single_alert_series_signature_tags_cold, fission, webrender",0.0,0.0,0.0,15.0,14.0,15.0,14.666666666666666
"single_alert_series_signature_tags_bytecode-cached, fission, warm, webrender",0.0,0.0,0.0,15.0,14.0,15.0,14.666666666666666
"single_alert_series_signature_tags_cold, fission, interactive, webrender",0.0,0.0,0.0,15.0,14.0,15.0,14.666666666666666
"single_alert_series_signature_tags_warm, webrender",0.0,0.0,0.0,15.0,14.0,15.0,14.666666666666666
"single_alert_series_signature_tags_fission, warm, webrender",0.0,0.0,0.0,15.0,14.0,15.0,14.666666666666666
